Iteration,x_0,x_1,x_2,x_3,Error_x0,Error_x1,Error_x2,Error_x3
15,-521.4159151811427,472.1521590473973,-1002.7078774397323,-525.3272314960363,850.5067853361566,747.6448057211514,1599.6339121733208,825.5137356749128
16,894.5824903131158,-778.4390368138418,1718.4237832381077,888.6233661249921,1415.9984054942586,1250.5911958612392,2721.13166067784,1413.9505976210285
17,-1504.1461438036174,1330.6765237020963,-2919.2913653751048,-1449.6399976577877,2398.7286341167332,2109.1155605159383,4637.7151486132125,2338.26336378278
18,2532.680975032893,-2217.216027353495,4782.700470486105,2476.217835519425,4036.8271188365106,3547.8925510555914,7701.991835861209,3925.857833177213
19,-4224.37027805299,3736.0822078451456,-8154.055772114715,-4178.5614356978695,6757.051253085883,5953.298235198641,12936.756242600819,6654.779271217294
20,7151.354994974952,-6276.190397903018,13726.051104747597,6971.138505377339,11375.725273027943,10012.272605748163,21880.10687686231,11149.699941075209
21,-11996.117862645062,10565.466887013334,-22964.349536543144,-11726.249714767338,19147.472857620014,16841.65728491635,36690.40064129074,18697.388220144676
22,20148.856539255947,-17730.13194643536,38603.65839084065,19789.44939166159,32144.97440190101,28295.59883344869,61568.00792738379,31515.69910642893
23,-33886.314575587734,29832.449399127836,-65099.34524490249,-33182.2530210942,54035.17111484368,47562.581345563194,103703.00363574314,52971.70241275579
24,57004.24466340734,-50142.65559785071,109208.56938991789,55754.03513532873,90890.55923899508,79975.10499697854,174307.91463482036,88936.28815642293
25,-95738.84730313523,84281.89723895962,-183540.36622024685,-93842.59331483472,152743.0919665426,134424.55283681033,292748.9356101648,149596.62845016347
26,160981.33459076314,-141667.35291229966,308801.542783407,157702.6152419952,256720.18189389838,225949.25015125927,492341.9090036539,251545.20855682992
27,-270658.3174946295,238188.12641199585,-519000.60463048425,-264962.35678019765,431639.6520853926,379855.47932429553,827802.1474138913,422664.97202219284
28,454913.6482676412,-400349.36708988145,872093.9376635167,445586.180545892,725571.9657622706,638537.4935018773,1391094.542294001,710548.5373260896
29,-764665.228534918,672990.6936816165,-1466459.1409294636,-749058.3872877507,1219578.8768025592,1073340.060771498,2338553.0785929803,1194644.5678336427
30,1285561.0214998461,-1131334.8826612467,2465162.563022099,1258917.008153229,2050226.2500347642,1804325.576342863,3931621.7039515628,2007975.3954409799
31,-2160941.0908461167,1901775.2155792615,-4143358.0678809527,-2116396.0929141594,3446502.112345963,3033110.098240508,6608520.630903052,3375313.1010673884
32,3632448.717726849,-3196822.9980767863,6965352.01975371,3557905.132891685,5793389.808572966,5098598.213656047,11108710.087634664,5674301.225805844
33,-6106333.671025706,5373958.732210193,-11709369.154228073,-5980454.434375195,9738782.388752555,8570781.730286978,18674721.173981782,9538359.56726688
34,10264809.676003154,-9033647.989735385,19682511.014748517,10053182.864749962,16371143.34702886,14407606.721945578,31391880.16897659,16033637.299125157
35,-17254897.729614306,15185513.191220913,-33086447.387630917,-16899956.767032333,27519707.40561746,24219161.180956297,52768958.40237944,26953139.631782293
36,29005772.43366008,-25526956.97918076,55619676.85874442,28408493.817440536,46260670.163274385,40712470.17040168,88706124.24637534,45308450.584472865
37,-48759019.251770124,42911036.466308385,-93495947.32841134,-47754420.79482205,77764791.6854302,68437993.44548914,149115624.18715575,76162914.61226259
38,81963720.7223503,-72133467.62729004,157166163.25801113,80276247.16734451,130722739.97412042,115044504.09359843,250662110.58642247,128030667.96216656
39,-137781399.30017862,121256685.15768637,-264199102.5951376,-134944544.23386598,219745120.02252892,193390152.78497642,421365265.8531487,215220791.4012105
40,231611683.1058547,-203833208.79145914,444119375.57884383,226841366.61983716,369393082.4060333,325089893.9491455,708318478.1739814,361785910.85370314
41,-389339741.5375932,342644368.21166503,-746564217.5860784,-381322332.1825203,620951424.6434479,546477577.0031242,1190683593.1649222,608163698.8023574
42,654481489.7152492,-575986498.8177148,1254980128.3522093,641005059.8942028,1043821231.2528424,918630867.0293798,2001544345.9382877,1022327392.0767231
43,-1100187117.0251646,968236163.9025645,-2109628406.5410662,-1077530487.4857845,1754668606.7404137,1544222662.7202792,3364608534.8932753,1718535547.3799872
44,1849419081.037007,-1627609131.704399,3546290138.12914,1811334115.4009652,2949606198.062172,2595845295.6069636,5655918544.670206,2888864602.8867497
45,-3108880490.732304,2736017636.3693805,-5961330844.454309,-3044862401.1684575,4958299571.769311,4363626768.07378,9507620982.58345,4856196516.569423
